File,aid,Date,2058,2061,2062,2066,2070,2111,2112,2116,2120,2181,2185,2189,2253,2257,2261,2318,2322,2325,2326,2330,2367,2372,2376,2380,2441,2445,2449,2513,2514,2517,2521,3094,3098,3102,3154,3354,3358,3362,3550,3554,18445,18446,18449,18450,18453,18454,18457,18458,18495,18705,18709,18713,18717,18751,18913,19482,19486,19490,19494,19742,19754,34834,34841,34842,34892,34957,34961,34965,35029,35094,35098,35101,35102,35106,35152,35217,35221,35225,35289,35293,35294,35297,36130,36134,36262,36326,36330,51221,51225,51229,51233,51263,51481,51485,51489,51493
_250m_16_days_VI_Quality_2017209_aid0001,aid0001,2017-07-28,,,,,,,916.0,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017225_aid0001,aid0001,2017-08-13,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017241_aid0001,aid0001,2017-08-29,,,,,,,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017257_aid0001,aid0001,2017-09-14,,,47.0,33.0,,,,659.0,36.0,,44.0,,,,,,,,,,,,112.0,5.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017273_aid0001,aid0001,2017-09-30,,,,,,,,942.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017289_aid0001,aid0001,2017-10-16,,,,,,,,948.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2017305_aid0001,aid0001,2017-11-01,,,,51.0,14.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,453.0,76.0,1.0,,,,233.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
_250m_16_days_VI_Quality_2017321_aid0001,aid0001,2017-11-17,,,,86.0,5.0,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,58.0,,,,16.0,,,,,,,135.0,,160.0,,,,,186.0,49.0,,,,,,,,,,,12.0,,,,,,,,39.0,7.0,,,,,,,,,10.0,,,,,,,,121.0,17.0,,,,11.0,
_250m_16_days_VI_Quality_2017337_aid0001,aid0001,2017-12-03,,,,63.0,113.0,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,,246.0,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,
_250m_16_days_VI_Quality_2017353_aid0001,aid0001,2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0,16.0,511.0,1.0,1.0,,,46.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,
_250m_16_days_VI_Quality_2018001_aid0001,aid0001,2018-01-01,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,97.0,452.0,,,,,139.0,44.0,,,,,,,,,,,57.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,7.0,,,,,102.0,22.0
_250m_16_days_VI_Quality_2018017_aid0001,aid0001,2018-01-17,,,,99.0,71.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,207.0,61.0,,,,42.0,424.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,30.0
